model,description,min_price,avr_price,max_price
Lenovo Legion 5 15ACH (82JU00JKPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 130W / SSD: 1000 ГБ / 2,4 кг / ОС: DOS",52570,54308,55499
Lenovo Legion 5 15IAH7H (82RB00EFPB),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / Intel Core i7-12700H / 3,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 140W / SSD: 512 ГБ / 2,4 кг / ОС: Windows 11 Home",62299,65390,70420
Acer Nitro 5 AN515-57-72CC (NH.QFGEP.006),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ / SSD: 1000 ГБ / 2,2 кг / ОС: Windows 11 Home",57120,63771,73078
HP OMEN 16-c0134nw (4H3X1EA),"Ноутбук / Класичний / 16,1"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 512 ГБ / 2,36 кг / ОС: DOS",56920,57004,57149
Lenovo Legion 5 Pro 16 (82JQ00EBPB),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6 ГБ GDDR6 / SSD: 512 ГБ / 2,45 кг / ОС: DOS",64880,64894,64899
ASUS TUF Gaming F15 FX506HM Graphite Black (FX506HM-HN004),"Ноутбук / Класичний / 15,6"" / EWW / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6 ГБ / SSD: 512 ГБ / 2,3 кг / ОС: DOS",0,57999,0
Lenovo Legion 5 Pro 16ACH6H (82JQ00FBUS),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 1000 ГБ / 2,45 кг / ОС: Windows 11 Home",71590,74520,81124
MSI GP66 Leopard 11UG (GP66 11UG-692XPL),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 512 ГБ / 2,38 кг / ОС: DOS",56580,62171,73552
GIGABYTE A7 (K1-BEE1150SD),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,5 кг / ОС: DOS",47970,47985,47999
Acer Nitro 5 AN515-45 (NH.QBREP.00B),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 8GB / SSD: 1000 ГБ / 2,2 кг / ОС: DOS",56080,57519,57999
Lenovo Legion 7 16ACHG6 GAMING (82N600DRUS),"Ноутбук / Класичний / 16"" / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3070, 8 Гб / SSD: 2000 ГБ / 2,5 кг / ОС: Windows 11 Home / 08.2022",0,83999,0
Lenovo Legion 5 15ARH7H (82RD0063PB),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,4 кг / ОС: DOS",59980,62357,69200
MSI GP76 Leopard 11UH (GP76 11UH-1013PL),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3080 / SSD: 1000 ГБ / 2,9 кг / ОС: Windows 11 Home",80220,80323,80499
MSI GP76 Leopard 11UG (GP76 11UG-1055XPL),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 512 ГБ / 2,90 кг / ОС: DOS",65170,68995,78200
"ASUS Vivobook Pro 15X OLED M6501RR Earl Grey (M6501RR-MA020W, 90NB0YS2-M001J0)","Ноутбук / Класичний / 15,6"" / OLED / 2880x1620 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ / SSD: 1000 ГБ / 2,1 кг / ОС: Windows 11 Home",83893,89828,92889
Lenovo Legion 7 16ITHg6 (82K6005LUS),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 8GB GDDR6 / SSD: 1000 ГБ / 2,5 кг / ОС: Windows 11 Home",0,89999,0
MSI Titan GT77 (TITANGT7712063),"Ноутбук / Класичний / 17,3"" / 3840x2160 / Intel Core i9-12900HX / 1,5 ГГц / ОЗП: 128 ГБ / NVIDIA GeForce RTX 3080 Ti, 16 Гб GDDR6 / SSD: 4000 ГБ / 3.09 кг / ОС: Windows 11 Pro / 08.2022",0,259999,0
ASUS ROG Strix G17 G712LWS (G712LWS-WB74),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-10750H / 2,6 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 2070 SUPER, 8 ГБ / SSD: 512 ГБ / 2,85 кг / ОС: Windows 10 Home",55500,55762,55849
ASUS TUF Gaming A15 FA506QM (FA506QM-HN008W),"Ноутбук / Класичний / 15,6"" / EWV / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,31 кг / ОС: Windows 11 Home",44170,47197,51639
Lenovo Legion 5 Pro 16ACH6H Stingray (82JQ00F8RA),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ / SSD: 512 ГБ / 2,45 кг / ОС: DOS",69999,71999,77999
ASUS ROG Strix G17 G713RM (G713RM-LL057W),"Ноутбук / Класичний / 17,3"" / IPS / 2560x1440 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,7 кг / ОС: Windows 11 Home",0,78065,0
Acer Nitro 5 AN515-58 (NH.QFMEP.00A),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-12500H / 2,5 ГГц / ОЗП: 8 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,60 кг / ОС: DOS",42829,44036,47413
ASUS ROG Strix G15 G513RM (G513RM-HQ064W),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,3 кг / ОС: Windows 11 Home",61580,61590,61600
Lenovo IdeaPad Gaming 3 15ACH6 Shadow Black (82K200XKRA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,25 кг / ОС: DOS",48800,51637,52584
ASUS ROG Strix G15 G513IM (G513IM-HN008W),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 4800H / 2,9 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,3 кг / ОС: Windows 11 Home",44799,49710,60401
MSI Katana GF66 11UG (GF66 11UG-872XPL),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 512 ГБ / 2,25 кг / ОС: DOS",55900,66077,74633
ASUS ROG Strix G15 G513RM (G513RM-HQ080W),"Ноутбук / Класичний / 15,6"" / EWV / 2560x1440 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,3 кг / ОС: Windows 11 Home",58810,64910,71010
